Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30051	Current	3	3	1	1	1	1	1	2	2	4	4	3	2	2	5	6	2	3	2	2	4	1	1	2	3	5	2
30052	Ever	1	3	1	3	3	3	3	3	3	4	2	2	3	1	2	5	3	4	2	2	3	3	3	2	3	5	2
30053	Never	1	1	1	1	1	1	2	2	3	4	2	2	4	1	1	1	2	3	3	2	4	3	3	2	1	5	2
30054	Never	1	1	1	1	1	1	2	2	3	4	2	2	4	1	1	1	2	3	3	2	4	3	3	2	1	6	2
30055	Current	1	3	1	3	3	3	3	3	3	4	2	1	4	1	3	6	2	2	3	2	4	2	2	2	1	5	2
30056	Ever	1	2	1	3	3	3	2	2	3	4	2	2	3	1	4	6	2	3	2	2	4	2	3	2	3	5	2
30057	Current	1	4	1	3	3	3	3	2	2	4	3	2	3	1	4	6	1	3	2	1	3	2	3	2	3	5	2
30058	Ever	1	2	2	3	3	1	1	2	2	4		3	4	1	2	6	1	3	2	2	4	3	3	2	1	5	2
30059	Current	3	1	1	3	3	1	1	1	2	1	3	3	4	4	3	6	2	2	2	1	2	2	2	2	1	5	2
30060	Ever	1	2	1	3	3	1	2	2	2	4	3	1	4	1	2	6	3	3	2	2	4	2	2	2	1	5	2
30061	Current	1			1	1	1	1	1	3	3	3	2	4	1	4	6	2	4	2	2	2	2	3	2	3	6	2
30062	Never	3	1	1	3	1	1	2	2		4	3	1	4	1	1	1	3	4	3	2	4	3	4	2	1	4	2
30063	Never	1	1	1	3	3	3	2	2	1	4	1	1	4	1	5	1	2	1	2	2	3	1	1	2	2	5	2
30064	Never	1	1	2	3	3	3	2	2	3	4	1	1	4	1	3	1	2	4	3	2	2	2	2	2	1	5	2
30065	Never	1	2	1	3	3	1	2	2	2	4	2	2	4	1	3	1	2	3	3	2	4	3	4	2	1	5	2
30066	Current	1	4	1	3	1	1	3	3	2	4	3	3	4	1	5	6	2	4	3	2	4	3	4	2	1	5	2
30067	Ever	3	3	1	3	3	3	2	2	2	4	1	1	4	1	1	6	2	4	3	2	3	3	3	2	1	5	2
30068	Current	3	3	1	3	3	1	3	2	2	4	2	2	4	1	3	5	3	4	3	2	4	3	4	2	1	5	2
30069	Ever	1	3	2	3	3	1	3	2	2	4	1	1	4	1	5	6	1	4	2	2	4	2	3	2	2	1	2
30070	Never	1	1	2	3	1	1	2	2	3	4	1	1	4	1	1	1	2	3	2	2	3	2	3	2	1	4	2
30071	Never	1	1	1	3	3	3	2	2	2	4	1	1	4	1	2	1	3	3	2	2	3	2	4	2	1	4	2
30072	Never	1	2	1	1	1	1	2	2	3	4	2	2	4	1	5	1	1	2	2	2	3	1	2	2	2		2
30073	Never	1	2	1	1	1	3	2	2	2	4	2	1	4	1	2	1	3	4	3	2	4	3	4	2	2	4	2
30074	Never	3	1	2	3	3	3	3	2	3	4	1	1	4	3	1	1	2	1	3	2	4	3	1	2	3	5	2
30075	Ever	1	1	1	3	3	3	2	2	3	4	2	1	4	1	5	6	2	3	2	2	2	3	2	2	2	3	1
30076	Current	1	4	1	3	1	1	3	1	2	4	2	2	4	1	2	6	2	3	3	2	4	3	3	2	2	4	1
30077	Ever	1	3	1	3	1	1	2	1	3	4	2	2	3	1	5	6	3	4	2	2	4	3	4	2	2	4	1
30078	Never	1	1	1	1	1	2	2	2	1	4	1	1	4	1	4	1	1	1	1	1	1	1	2	1	1	5	1
30079	Never	1	1	1	3	2	1	2	2	2	4	1	1	4	1	2	1	2	3	2	2	3	2	3	2	2	4	1
30080	Never	1	1	1	3	3	3	2	2	1	4	2	1	4	1	5	1	1	2	2	2	2	1	2	2	1	4	1
30081	Never	1	1	2	2	2	1	2	2	1	1	2	2	4	1	2	1	2	1	3	2	4	3	1	2	3	4	1
30082	Never	1	1	2	2	2	1	2	2	1	4	2	1	4	1	4	1	3	3	3	2	3	3	3	2	3	4	1
30083	Never	4	3	2	3	3	1	3	3	1	3	1	3	3	2	3	1	2	3	2	2	3	2	3	2	2	4	1
30084	Never	3	2	2	3	1	1	3	2	1	4	2	2	4	2	4	1	1	3	2	1	2	1	3	2	1	4	1
30085	Never	1	2	1	1	2	1	2	2	3	4	2	2	4	1	3	1	2	2	2	2	3	1	3	2	3	4	2
30086	Never	1	1	2	3	3	3	2	2	1	4	1	1	4	1	2	1	2	3	3	2	3	3	3	2	3	4	2
30087	Never	1	1	1	3	2	2	2	2	1	4	2	1	4	1	3	1	1	3	3	2	3	2	4	2	2	5	2
30088	Never	1	1	1	3	3	3	2	2	3	4	1	1	4	1	3	1	2	3	2	2	3	2	3	1	1	4	2
30089	Never	1	2	1	3	3	1	2	2	1	4	1	2	4	1	3	1	1	1	3	2	3	3	1	2	1	4	2
30090	Never	3	1	2	1	1	3	2	2	2	4	1	1	4	1	2	1	1	3	3	2	3	3	4	2	1	4	2
30091	Never	3	1	1	3	3	3	2	2	3	4	1	1	4	1	2	1	2	2	3	2	4	3	4	2	1	4	2
30092	Never	3	1	1	3	3	3	2	2	3	4	1	1	4	2	2	1	2	2	2	2	3	3	3	2	1	4	2
30093	Never	3	2	1	3	3	1	2	2	1	4	1	2	4	1	3	1	2	1	3	2	3	3	1	2	1	4	2
30094	Current	1	3	1	2	2	1		2	1	3	2	2	3	1	4	5	2	4	2	2	3	2	3	2	2	3	2
30095	Never	1	1	2	3	2	3	2	2	3	4	2	2	4	1	2	1	2	3	2	2	4	3	4	2	1	4	2
30096	Never	1	1	1	2	2	1	2	2	3	4	2	2	3	1	1	1	1	3	3	2	4	3	4	2	1	3	2
30097	Never	1	2	1	3	3	3	2	2	3	4	2	3	3	1	5	1	2	2	3	2	3	1	3	2	1	3	2
30098	Never	1		1	3	3	1	2	2	1	4	2	2	4	1	3	1	1	2	3	2	2	2	2	2	1	3	2
30099	Never	1	1	1	2	2	1	2	2	1	4	2	1	4	1	4	1	1	3	3	2	4	2	3	2	1	3	2
30100	Never	1	1	1	2	2	1	2	2	3	4	1	3	4	1	2	1	2	2	3	2	3	3	3	2	1	4	2
30101	Never	1	1	1	2	2	2	2	2	2	4	1	4	4	1	1	1	3	3	2	2	3	2	3	2	1	3	2
30102	Ever	3	2	2	1	1	1	3	2	2	3	2	3	4	4	2	6	3	4	2	2	2	2	4	2	2	6	1
30103	Ever	1	2	2	3	3	1	3	2	3	3	2	2	3	1		6	3	4	4	2	4	3	4	2	1	5	1
30104	Ever	1	3	1	3	3	1	3	2	3	3	2	3	4	1	1	6	3	4	4	2	4	3	4	2	3	5	1
30105	Never	3	1	2	3	3	1	2	2	3	4	2	1	4	1	2	1	3	4	3	2	4	3	4	2	1	5	1
30106	Never	1	1	1	3	3	3	3	2	3	4	2	1	4	1	4	1	3	4	3	2	4	2	4	2	1	5	1
30107	Never	1	1	2	1	1	1	3	2	1	4	2	2	4	1	3	1	3	4	3	2	4	3	3	2	1	5	1
30108	Never	1	1	2	3	3	1	2	2	3	4	3	2	4	1	3	1	3	4	2	2	3	2	4	2	1	5	1
30109	Never	3	1	1	3	3	3	2	2	3	4	2	1	3	3	3	1	2	3	4	2	4	2	3	2	3	5	1
30110	Ever	4	2	1	2	2	1	2	2	3	4	2	1	4	1	1	6	2	3	3	2	3	3	3	2	1	3	1
30111	Ever	1	2	1	3	2	3	2	2	3	4	2	1	4	1	5	6	2	4	2	1	2	2	2	2	1	2	1
30112	Never	1	1	1	3	3	3	2	2	3	4	1	1	4	1	5	1	2	3	3	2	3	2	3	2	1	3	1
30113	Never	1	1	1	2	2	2	2	2	3	4	1	1	4	1	4	1	2	3	3	2	4	3	4	2	1	3	1
30114	Never	1	1	1	1	1	1	2	2	3	4	1	2	4	1	1	1	2	2	3	2	3	3	4	2	1	3	1
30115	Never	1	1	1	1	1	1	2	2	3	4	1	2	4	1	1	1	2	3	2	2	3	2	4	2	1	4	1
30116	Never	1	1	1	2	2	1	2	2	2	4	1	1	4	1	4	1	2	3	2	2	2	3	3	2	1	3	1
30117	Never	1	1	1	2	2	1	2	2	2	4	2	1	4	1	4	1	1	3	2	2	3	2	3	2	1	3	1
30118	Never	1	1	1	2	2	1	2	2	3	4	2	1	1	1	4	1	1	3	2	2	3	2	3	2	1	4	1
30119	Never	1	1	1	2	2	1	2	2	3	4	2	1	4	1	1	1	3	3	3	2	4	3	4	2	1	2	1
30120	Never	1	1	1	3	2	1	2	2	1	4	1	2	4	1	1	1	2	3	2	2	2	2	3	2	1	3	1
30121	Never	1	1	1	3	3	3	2	2	3	4	1	1	4	1	2	1	2	3	3	2	3	2	2	2	1	3	1
30122	Never	1	2	1	3	3	1	2	2	3	4	2	2	3	1	5	1	3	3	3	2	3	2	3	2	1	3	1
30123	Never	2	1	1	3	3	2	2	2	3	4	2	2	3	5	1	1	2	3	2	2	3	2	4	2	3	3	1
30124	Never	3	1	1	2	3	1	2	2	3	4	1	1	3	2	2	1	1	3	3	2	3	3	3	2	1	3	1
30125	Never	3	1	2	3	3	2	2	2	3	4	2	1	4	3	3	1	2	3	2	2	3	3	3	2	1	2	1
30126	Never	1	1	1	2	2	2	2	2	3	4	1	1	4	1	2	1	2	3	3	2	4	3	3	2	1	3	1
30127	Ever	1	2	2	3	3	1	2	3	3	3	2	1	3	1	5	6	3	3	2	2	4	2	3	2	1	5	1
30128	Never	1	1	1	2	2	3	2	2	2	4	1	1	4	1	1	1	1	3	3	2	3	1	3	2	1	4	1
30129	Never	1	2	1	1	1	1	1	2	2	4	2	3	4	1	2	1	2	3	3	2	3	2	3	2	3	5	1
30130	Never	3	2	1	3	1	1	3	2	3	2	2	3	3	1	5	1	2	3	2	2	2	2	3	2	2	5	1
30131	Never	1	1	1	3	3	1	2	2	3	4	2	3	3	1	2	1	3	4	3	2	4	3	3	2	2	4	1
30132	Never	1	1	2	3	2	3	3	2	3	4	1	2	3	1	1	1	2	4	3	2	3	3	4	2	1	6	1
30133	Never	4	2	2	3	1	1	2	2	2	4	2	1	4	1	1	1	3	3	2	2	3	2	3	2	1	5	1
30134	Ever	3	3	1	3	3	1	2	2	2	3	2	2	3	5	4	6	3	3	2	2	1	3	3	2	1	5	2
30135	Ever	1	3	1	1		1	2	2	2	4	1	2	4	1	1	6	2	3	3	2	3	2	2	2	3	5	2
30136	Ever	4	3	1	3	3	3	2	3	1	4	2	2	3	5	5	3	3	3	2	2	4	2	3	1	3	5	2
30137	Current	1	4	1	3	3	1	2	2	2	4	4	4	4	1	5	6	3	4	3	2	4	3	3	1	2	5	2
30138	Never	1	3	2	1	3	1	2	2	2	4	2	2	3	1	2	1	3	1	2	2	3	1	1	2	1	5	2
30139	Never	1	1	1	3	3	1	2	2	2	4	2	3	4	1	3	1	2	2	2	2	2	2	2	2	3	5	2
30140	Never	1	1	2	2	2	3	2	2	3	4	1	2	4	1	4	1	3	1	2	2	4	3	1	2	3	5	2
30141	Never	1	1	2	3	3	3	2	2	1	4	1	1	4	1	4	1	3	3	3	2	3	2	3	2	3	5	2
30142	Never	1	2	1	3	3	1	2	2	1	4	1	2	4	1	3	1	2	3	3	2	4	3	3	2	2	5	2
30143	Never	2	2	1	3	3	1	2	2	3	4	1	2	3	2	5	1	2	3	2	2	3	2	3	2	3	5	2
30144	Never	3	1	1	1	3	1	3	2		4	2	3	3	1	1	1	3	4	4	1	4	2	4	2	1	5	2
30145	Never		1	2	3	3	1	2	2	2	4	2	1	4	1	2	1	2	4	3	2	4	2	1	2	3	5	2
30146	Ever	1	2	2	3	3	1	2	2	3	4	2	1	4	1	4	6	1	3	3	2	3	3	4	2	2	4	1
30147	Never	1	3	1	2	2	3	2	2	2	4	1	1	4	1	3	1	3	2	2	2	3	2	3	2	2	4	1
30148	Never	1	1	1	3	3	1	2	2	1	4	1	1	3	1	5	1	2	3	2	2	3	2	3	2	2	3	1
30149	Never	1	1	1	3	3	3	2	2	1	4	2	1	4	1	5	1	3	4	2	2	2	1	3	2	1	4	1
30150	Never	1	1	1	1	1	1	2	2	1	4	1	1	2	1	1	1	2	4	2	2	3	1	3	2	1	5	1
30151	Never	1	2	1	1	3	3	2	2	3	4	1	1	4	3	4	1	2	3	2	2	3	3	4	2	2	4	1
30152	Never	1	2	1	3	3	1	3	3	1	4	2	1	4	1	4	1	2	3	2	2	3	2	3	2	1	4	1
30153	Ever	4	1	1	3	3	3	2	2	3	4	2	2	3	1	2	5	1	3	2	2	3	2	3	2	3	3	2
30154	Never	1	1	1	3	3	1	2	2	2	4	1	1	1	1	2	1	2	3	2	2	4	2	3	2	1	4	2
30155	Never	4	1	1	3	3	1	2	2	2	4	1	1	1	1	2	1	2	3	2	2	4	2	3	2	1	3	2
30156	Never	1	1	1	1	1	3	2	2	2	4	2	3	3	1	1	1	2	3	2	2	3	2	4	2	2	4	2
30157	Never	1	1	1	1	1	3	2	2	2	4	1	1	4	1	1	1	2	2	2	2	4	3	4	2	2	4	2
30158	Never	1	1	1	1	2	1	2	2	2	4	1	1	4	1	2	1	2	3	3	2	4	2	4	2	2	4	2
30159	Never	1	1	1	3	3	1	2	2	2	4	1	2	4	1	4	1	3	4	3	2	4	3	4	2	2	4	2
30160	Current	3	4	1	3	3	1	3	2	1	4	2	1	1	5	5	6	1	2	2	2	3	2	4	2	2	3	2
30161	Never	1	1	1	3	3	1	2	2	2	4	2	3	4	1	2	1	2	3	2	2	3	2	4	2	3	3	2
30162	Never	2	2	1	3	3	1	3	2	3	4	2	3	2	2	3	1	2	3	2	1	2	3	3	2	1	3	2
30163	Never	1	1	1	3	3	3	3	3	3	4	1	1	4	1	4	1	2	1	3	2	3	2	1	2	3	3	2
30164	Never	1	1	1	1	1	1	1	2	3	4	1	1	4	1	2	1	3	2	3	2	4	3	3	2	3	3	2
30165	Never	1	1	1	3	2	1	2	2	1	4	1	1	3	1	1	1	2	3	2	2	3	2	3	2	1	2	2
30166	Never	1	1	1	3	3	1	3	2	2	4	1	1	4	1	2	1	2	1	3	2	2	1	1	2	2		2
30167	Never	1	1	1	2	2	1	2	2	1	4	2	2	3	1	1	1	3	3	2	2	3	2	3	2	3	3	2
30168	Never	1	1	2	3	3	3	3	3	3	4	2	2	4	1	2	1	2	3	3	2	3	2	4	2	3	3	2
30169	Never	3	1	1	1	2	3	2	2	3	4	2	3	4	2	1	1	2	3	3	2	3	2	4	2	3	3	2
30170	Never	4	1	2	3	3	2	2	2	1	4	1	1	4	3	1	1	2	3	3	2	4	3	4	2	3	3	2
30171	Ever	2	1	1	3	3	3	2	2	2	4	2	1	4	4	2	3	2	3	3	1	4	3	4	2	1	6	1
30172	Never	1	1	1	3	3	2	2	2	2	1	1	2	4	1	1	1	2	4	2	2	2	2	4	1	3	5	1
30173	Never	1	4	2	3	3	1	3	3	3	4	1	2	3	1	2	1	3	4	3	1	1	3	4	2	2	5	1
30174	Never	2	1	2	3	3	1	3	3	2	2	1	1	2	4	1	1	3	1	3	2	1	2	1	2	3	4	1
30175	Never	1	1	1	1	1	1	2	2	2	4	1	1	4	1	1	1	3	3	2	2	3	3	4	2	2	3	1
30176	Never	1	1	2	1	1	1	2	2	3	4	1	3	4	1	3	1	2	3	3	2	3	2	3	2	3	3	1
30177	Never	1	1	2	2	2	2	2	2	3	4	1	2	3	1	5	1	1	3	3	2	3	2	4	2	2	2	1
30178	Never	1	3	1	3	3	1	1	1	3	4	2	1	4	1	3	1	1	3	2	2	3	2	3	2	3	3	1
30179	Never	1	1	1	3	2	2	2	2	2	4	1	2	4	1	5	1	1	2	2	2	2	1	3	2	1	4	1
30180	Ever	1	2	1	3	3	1	2	2	2	4	2	2	4	1	2	6	2	3	2	2	4	2	3	2	2	5	2
30181	Current	4	4	1	3	3	1	3	3	3	4	3	2	4	2	4	6	3	3	3	1	4	3	3	2	2	5	2
30182	Current	1	3	1	3	3	1	3	3	2	4	3	1	4	1	3	6	1	3	3	2	4	3	3	2	2	6	2
30183	Never	3	1	1	3	1	3	2	2	2	4	1	1	4	3	1	1	2	3	3	2	3	3	3	2	2	5	2
30184	Never	4	1	1	1	1	1	3	3	3	4	3	2	3	4	3	1	3	3	2	2	4	1	4	2	2	5	2
30185	Never	1	1	1	2	2	3	2	2	2	4	2	1	3	1	1	1	3	4	3	2	4	3	4	2	3	5	2
30186	Never	1	1	1	3	3	1	2	2	3	4	1	1	4	1	2	1	2	3	2	2	2	2	3	2	2	5	2
30187	Never	1	1	1	3	3	3	2	2	2	4	2	1	4	1	1	1	1	3	3	2	4	3	4	2	2	5	2
30188	Never	4	1	2	3	3	1	3	3	3	4	1	1	3	3	3	1	2	3	1	2	3	3	2	2	3	5	2
30189	Never	4	1	2	3	3	1	2	2	2	4	1	1	4	5	4	1	3	4	3	2	4	3	4	2	3	4	2
30190	Never	1	1	1	3	3	3	2	2	3	4	2	2	4	1	1	1	2	3	2	2	4	3	3	2	2	5	2
30191	Current	2	4	1	3	2	1	3	2	2	4	3	3	4	1	4	6	2	3	3	2	4	3	3	2	1	4	1
30192	Never	1	1	1	3	3	2	2	2	2	4	2	1	4	1	2	1	2	4	3	2	3	2	3	2	1	4	1
30193	Never	1	1	1	3	3	1	3	3	3	4	1	1	2	1	3	1	1	1	2	2	3	2	4	2	1	4	1
30194	Never	1	1	2	1	2		1	2	2	4	4	1	4	1	5	1	1	3	2	2	2	1	2	1	2	4	1
30195	Never	1	2	1	3	3	1	2	2	1	4	1	2	4	1	3	1	2	3	3	1	3	2	3	2	1	4	1
