Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30335	Current	3	3	1	3	3	3	1	1	3	4	3	2	3	4	2	6	3	4	3	2	3	2	2	2	2	6	2
30336	Current	4	3	1	1	1	3	2	2	2	4	2	2	4	3	5	3	1	3	2	2	2	2	2	2	1	5	2
30337	Current	3	3	1	3	3	1	2	2	2	4	2	2	4	2	3	3	1	3	2	2	4	3	3	2	1	5	2
30338	Current	2	4	1	3	3	1	1	3	2	3	3	2	3	4	4	6	1	3	3	2	4	3	3	2	1	5	2
30344	Current	2		1	1	3	3	3	3	3	3	3	3	1	5	5	3	2	4	3	2	4	3	4	2	1	4	2
30346	Current	4	3	2	1	1	1	2	2	3	3	3	1	3	5	5	3	3	4	3	2	3	2	3	2	1	4	1
30347	Current	1	4	1	1	1	1	3	2	2	4	3	1	4	1	5	6	1	3	2	2	1	2	3	2	1	3	1
30349	Current	3	3	1	3	3	1	3	3	3	4	2	2	3	1	3	3	1	4	2	2	3		4	2	3	3	2
30355	Current	1	3	1	3	3	1	3	1	3	3	3	3	3	2	5	4	2	3	2	1	2	2	4	2	1	7	1
30369	Current	2	4	1	3	3	1	3	2	2	4	3	2	4	5	4	4	1	3	3	1	4	2	4	2	1	4	1
30370	Current	4	3	1	3	3	1	3	3	3	4	2	2	4	5	3	4	3	3	3	2	4	2	2	2	1	5	1
30371	Current	3	4	1	3	3	1	3	2	3	4	3	3	4	5	5	6	2	2	2	1	3	2	2	1	1	5	1
30377	Current	2	4	1	3	3	1	3	3	2	4	3	2	4	5	5	5	1	2	1	1	3	1	2	1	1	5	2
30378	Current	2	3	2	3	3	1	3	3	1	4	3	3	4	5	3	6	2	3	3	2	3	2	3	2	3	3	2
30379	Current	2	4	1	3	3	1	2	2	2	4	3	3	4	5	4	2	2	3	2	2	2	3	3	2	2	4	2
30380	Current	3	3	2	3	3	1	2	2	2	4	3	4	4	1	4	6	3	3	3	2	4	3	3	2	1	4	2
30381	Current	2	4	1	1	1	1	2	2	2	4	4	1	1	3	5	6	2	3	3	1	3	2	2	2	1	4	2
30385	Current	2	3	1	1	3	3	1	2	2	4	4	2	4	5	5	6	2	4	2	1	3	3	3	2	1	3	1
30390	Current	1	4	1	3	3	1	3	3	2	4	3	1	3	1	3	6	1	3	3	2	4	2	4	1	1	5	1
30400	Current	4	1	2	3	3	1	3	3	2		4	3	3	2	2	3	3	3	2	1	2	3	1	2		6	2
30407	Current		1	1	3	3	2	3	3	3	3	2	3	4	1	3	3	2	3	3	1	2	2	3	2	3		1
30408	Current	4	4	2	3	3	1	3	2	3	4	2	3	3	5	2	6	1	3	2	2	2	2	3	2	3	6	2
30409	Current	4	4	1	3	3	1	3	2	3	4	3	1	4	5	5	3	1	3	2	1	3	2	3	2	1	5	2
30413	Current	1	4	1	3	1	1	2	2	3	3	4	1	4	1	5	6	2	4	2	2	4	3	2	2	1	5	1
30414	Current	2	4	2	3	3	1	1	1	2	1	4	1	1	5	5	6	3	4	2	1	2	1	2	1	2	1	1
30415	Current	1	4	2	1	2	1	2	2	3	1	4	1	1	5	5	6	1	4	2	2	4	1	4	1	2		1
30419	Current	2	3	2	1	1	1	1	1	2	4	2	2	3	5	5	6	2	3	3	2	3	2	3	2	3	4	2
30433	Current	1	4	2	3	3	1	3	1	3	4	3	2	4	1	1	6	3	3	2	1	3	2	3	1	3	4	1
30435	Current		3	1	3	3	1	3	3	3	4	2	3	2	1	4	6	2	3	3	2	3	3	3	2	1	4	1
30437	Current	4	4	1	3	2		1	2	1	1	2			1	1	4	1	3	2	2	3	2	1		1	4	1
30438	Current	3	3	1	3	3	1	2	1	3	4	3	1	4	5	3	6	3	4	3	2	4	3	4	2	1	4	1
30442	Current	2	2	1	1	1	2	2	2	3	4	3	1	3	2	1	6	2	3	2	2	1	3	4	2	1	6	2
30444	Current	2	3	1	3	3	3	3	2	2	4	2	1	3	2	2	3	2	3	3	2	4	2	4	2	1	4	2
30461	Current	2	3	1	3	3	1	3	3	3	4	3	4	3	5	5	6	3	3	2	1	2	1	2	2	1	5	1
30462	Current	3	4	1	3	3	3	3	3	3	3	3	3	3	2	5	6	2	3	2	1	3	3	4	2	1	5	1
30463	Current	2	4	1	3	3	1	3	3	3	4	2	1	4	5	5	6	3	3	3	2	4	2	3	2	1	6	1
30467	Current	2	4	1	3	3	1	2		2	4	3	1	4	5	5	6	2	4	3	2	4	2	4	2	1	5	2
30471	Current	2	4	1	3	3	1	2	2	3	4	2	2	4	5	5	6	1	3	3	2	3	2	3	2	3	6	2
30487	Current	2		2	3	3	3	3	3		1	2	1	1	1	2	3	1	2	2	2	3	3	3		3	5	2
30488	Current	1	3	1	3	3	1	1	2	3	4	2	3	4	1	3	6	1	3	2	2	3	2	3	2	1	5	2
30508	Current	3	4	1	3	3	3	3	3	3	4	3	1	3	1	4	3	3	3	3	2	4	3	4	2	3	5	1
30509	Current	2	4	1	3	3	3	3	3	3	3	3	2	4	5	5	6	1	3	2	1	3	3	2	1	3	6	1
30515	Current	1	4	1	3	3	1	1	2	2	4	2	3	3	1	4	5	2	3	2	1	3	2	3	2	1	4	2
30551	Current	3	3	1	3	3	1	2	3	3	4	2	2	4	5	5	6	3	4	4	1	4	2	4	2	1	5	1
30552	Current	1	4	1	1	1	3	1	1	3	4	3	3	4	1	5	6	1	3	3	2	3	2	3	2	2	4	1
